itemset,support
('Product_0', 'Product_9'),0.0386
('Product_11', 'Product_16'),0.0402
('Product_11', 'Product_7'),0.0405
('Product_4', 'Product_6'),0.0380
('Product_15', 'Product_16'),0.0396
('Product_13', 'Product_16'),0.0421
('Product_4', 'Product_9'),0.0394
('Product_17', 'Product_5'),0.0385
('Product_2', 'Product_5'),0.0396
('Product_17', 'Product_4'),0.0389
('Product_14', 'Product_18'),0.0379
('Product_10', 'Product_18'),0.0377
('Product_2', 'Product_4'),0.0410
('Product_12', 'Product_13'),0.0432
('Product_18', 'Product_5'),0.0365
('Product_15', 'Product_3'),0.0402
('Product_13', 'Product_3'),0.0412
('Product_15', 'Product_17'),0.0410
('Product_3', 'Product_5'),0.0384
('Product_15', 'Product_6'),0.0394
('Product_16', 'Product_2'),0.0425
('Product_18', 'Product_4'),0.0389
('Product_13', 'Product_6'),0.0376
('Product_3', 'Product_4'),0.0409
('Product_15', 'Product_9'),0.0400
('Product_11', 'Product_13'),0.0386
('Product_11', 'Product_18'),0.0396
('Product_16', 'Product_4'),0.0437
('Product_13', 'Product_18'),0.0382
